Date,Renewable_Energy_Production
1973-01-01,403.981
1973-02-01,360.9
1973-03-01,400.161
1973-04-01,380.47
1973-05-01,392.141
1973-06-01,377.232
1973-07-01,367.325
1973-08-01,353.757
1973-09-01,307.006
1973-10-01,323.453
1973-11-01,337.817
1973-12-01,406.694
1974-01-01,437.467
1974-02-01,399.942
1974-03-01,423.474
1974-04-01,422.323
1974-05-01,427.657
1974-06-01,409.281
1974-07-01,409.719
1974-08-01,386.101
1974-09-01,353.91
1974-10-01,343.703
1974-11-01,351.633
1974-12-01,376.642
1975-01-01,392.756
1975-02-01,368.278
1975-03-01,423.49
1975-04-01,405.368
1975-05-01,421.283
1975-06-01,411.622
1975-07-01,398.459
1975-08-01,368.23
1975-09-01,341.957
1975-10-01,368.786
1975-11-01,383.196
1975-12-01,403.696
1976-01-01,421.775
1976-02-01,396.173
1976-03-01,427.044
1976-04-01,396.931
1976-05-01,415.728
1976-06-01,411.555
1976-07-01,421.425
1976-08-01,398.129
1976-09-01,356.984
1976-10-01,369.186
1976-11-01,351.386
1976-12-01,360.834
1977-01-01,378.521
1977-02-01,304.328
1977-03-01,368.966
1977-04-01,351.301
1977-05-01,356.923
1977-06-01,336.485
1977-07-01,336.903
1977-08-01,335.881
1977-09-01,328.075
1977-10-01,341.368
1977-11-01,370.168
1977-12-01,400.048
1978-01-01,438.983
1978-02-01,391.866
1978-03-01,433.459
1978-04-01,434.379
1978-05-01,475.883
1978-06-01,432.628
1978-07-01,431.461
1978-08-01,408.417
1978-09-01,392.287
1978-10-01,379.436
1978-11-01,379.078
1978-12-01,407.564
1979-01-01,447.796
1979-02-01,390.487
1979-03-01,457.799
1979-04-01,445.932
1979-05-01,489.08
1979-06-01,441.683
1979-07-01,424.513
1979-08-01,409.21
1979-09-01,378.903
1979-10-01,397.602
1979-11-01,414.74
1979-12-01,425.109
1980-01-01,478.943
1980-02-01,424.298
1980-03-01,469.134
1980-04-01,477.356
1980-05-01,517.456
1980-06-01,497.768
1980-07-01,471.331
1980-08-01,429.358
1980-09-01,401.712
1980-10-01,402.564
1980-11-01,409.876
1980-12-01,448.546
1981-01-01,462.381
1981-02-01,427.043
1981-03-01,443.808
1981-04-01,438.02
1981-05-01,480.423
1981-06-01,496.995
1981-07-01,491.304
1981-08-01,454.028
1981-09-01,407.22
1981-10-01,416.966
1981-11-01,418.476
1981-12-01,477.024
1982-01-01,514.44
1982-02-01,489.624
1982-03-01,544.724
1982-04-01,517.128
1982-05-01,525.795
1982-06-01,518.974
1982-07-01,519.267
1982-08-01,483.203
1982-09-01,433.748
1982-10-01,439.874
1982-11-01,469.93
1982-12-01,522.93
1983-01-01,562.279
1983-02-01,523.276
1983-03-01,572.853
1983-04-01,561.458
1983-05-01,581.741
1983-06-01,569.493
1983-07-01,550.993
1983-08-01,528.288
1983-09-01,476.173
1983-10-01,474.251
1983-11-01,507.035
1983-12-01,587.773
1984-01-01,570.081
1984-02-01,535.239
1984-03-01,579.04
1984-04-01,566.019
1984-05-01,593.504
1984-06-01,553.321
1984-07-01,547.618
1984-08-01,524.053
1984-09-01,470.91
1984-10-01,479.62
1984-11-01,486.11
1984-12-01,532.347
1985-01-01,555.205
1985-02-01,511.838
1985-03-01,525.002
1985-04-01,512.937
1985-05-01,542.968
1985-06-01,507.33
1985-07-01,489.577
1985-08-01,475.912
1985-09-01,454.274
1985-10-01,475.406
1985-11-01,499.606
1985-12-01,533.96
1986-01-01,486.064
1986-02-01,479.122
1986-03-01,558.538
1986-04-01,539.897
1986-05-01,545.072
1986-06-01,527.412
1986-07-01,513.292
1986-08-01,482.847
1986-09-01,472.114
1986-10-01,482.113
1986-11-01,492.321
1986-12-01,532.346
1987-01-01,521.265
1987-02-01,452.878
1987-03-01,498.782
1987-04-01,477.656
1987-05-01,509.032
1987-06-01,466.873
1987-07-01,467.691
1987-08-01,448.986
1987-09-01,437.201
1987-10-01,442.655
1987-11-01,423.208
1987-12-01,475.58
1988-01-01,495.132
1988-02-01,446.663
1988-03-01,469.098
1988-04-01,455.993
1988-05-01,486.212
