Date,Predicted_Energy_Production,rolling_mean,rolling_std,z_score,Anomaly
2025-12-12,805.4322200313256,,,,False
2025-12-13,800.0647188400195,,,,False
2025-12-14,800.0647188400195,,,,False
2025-12-15,800.2872926650934,,,,False
2025-12-16,801.4068149779335,,,,False
2025-12-17,801.4054510565398,,,,False
2025-12-18,800.0250897710854,801.2409008831453,1.9483383578152427,-0.6240246244616559,True
2025-12-19,786.7068463821239,798.5658475046879,5.265553850780042,-2.2521849474214752,True
2025-12-20,786.9044827347162,796.6858137753588,6.774406116496365,-1.4438654654648,True
2025-12-21,792.2143139796275,795.5643273667313,6.771615489445918,-0.49471405934448565,False
2025-12-22,792.0000792466723,794.3804397355283,6.528335571568347,-0.36461981201192495,False
2025-12-23,792.3716907863401,793.0897077081579,5.754971635297162,-0.1247646326202519,False
2025-12-24,792.4393645171402,791.8088382025295,4.4441940239532505,0.14187641475874643,False
2025-12-25,792.1586132558533,790.6850558432105,2.654571790564512,0.5551017372671676,True
